date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/02 Kampong Lakai,SK Putra,2,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,232,67.63848396501457
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/02 Kampong Lakai,SK Putra,2,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,111,32.36151603498542
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/02 Kampong Lakai,SK Putra,3,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,217,65.16516516516516
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/02 Kampong Lakai,SK Putra,3,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,116,34.83483483483483
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/03 Pasoh 4,SK (FELDA) Pasoh 4,1,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,264,74.57627118644068
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/03 Pasoh 4,SK (FELDA) Pasoh 4,1,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,90,25.423728813559322
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/03 Pasoh 4,SK (FELDA) Pasoh 4,2,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,209,49.6437054631829
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/03 Pasoh 4,SK (FELDA) Pasoh 4,2,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,212,50.3562945368171
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/03 Pasoh 4,SK (FELDA) Pasoh 4,3,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,230,58.080808080808076
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/03 Pasoh 4,SK (FELDA) Pasoh 4,3,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,166,41.91919191919192
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,1,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,238,70.0
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,1,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,102,30.0
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,2,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,167,52.35109717868338
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,2,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,152,47.64890282131661
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,3,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,165,41.77215189873418
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,3,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,230,58.22784810126582
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,4,1,APZK6,Jalaluddin Bin Alias,Jalaluddin bin Alias,M,Malay,60,BN,001-UMNO,UMNO,001-BN,BN,140,38.35616438356164
2023-08-12,SE-15,Negeri Sembilan,N.02 Pertang,126/02/04 Pasoh 1,SK Pasoh Satu,4,2,PK9V8,Cikgu Amir,Amirudin bin Hassan (Cikgu Amir),M,Malay,64,PN,004-PAS,PAS,011-PN,PN,225,61.64383561643836
