date,election,state,seat,dm,pm,saluran,ballot_order,candidate_uid,name_on_ballot,name,sex,ethnicity,age,party_on_ballot,party_uid,party,coalition_uid,coalition,votes,votes_perc
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,2,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,166,65.87301587301587
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,2,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,5,1.984126984126984
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,2,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,17,6.746031746031746
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,2,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,64,25.396825396825395
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,3,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,173,57.0957095709571
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,3,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,6,1.9801980198019802
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,3,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,29,9.570957095709572
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,3,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,95,31.353135313531354
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,4,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,122,51.91489361702127
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,4,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,0,0.0
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,4,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,38,16.170212765957448
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,4,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,75,31.914893617021278
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,5,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,105,47.72727272727273
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,5,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,3,1.3636363636363635
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,5,3,C2AE6,Norazman,Norazman bin Md Diah,M,Malay,51,PN,107-BERSATU,BERSATU,011-PN,PN,43,19.545454545454547
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,5,4,5W8DG,Zahari Sarip,Zahari bin Sarip,M,Malay,55,BN,001-UMNO,UMNO,001-BN,BN,69,31.363636363636367
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,6,1,56Y9M,Subramani Chami,Subramani a/l Chami,M,Indian,55,PKR,078-PKR,PKR,007-PH,PH,110,38.732394366197184
2022-03-12,SE-15,Johor,N.01 Buloh Kasap,140/01/07 Pekan Gemas Bahru,SJK (C) Tah Kang,6,2,8MMBX,Mohd Hanafi Bin Ahmad,Mohd Hanafi bin Ahmad,M,Malay,49,PEJUANG,119-PEJUANG,PEJUANG,000-ALONE,ALONE,3,1.056338028169014
